form_id,field,crop_path,x1,y1,x2,y2,source_file,processed_path
E14_001,total_sufragantes,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/total_sufragantes.png,48,417,304,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_en_urna,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_en_urna.png,357,417,611,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_incinerados,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_incinerados.png,672,422,927,462,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_candidato_1,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_candidato_1.png,674,552,936,617,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_candidato_2,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_candidato_2.png,670,710,930,782,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_blanco,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_blanco.png,669,825,925,876,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_nulos,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_nulos.png,670,875,925,923,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,votos_no_marcados,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/votos_no_marcados.png,675,918,922,964,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_001,total_mesa,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_001/total_mesa.png,662,960,925,1012,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_001.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_001/E14_001_processed.png
E14_002,total_sufragantes,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/total_sufragantes.png,48,417,304,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_en_urna,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_en_urna.png,357,417,611,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_incinerados,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_incinerados.png,672,422,927,462,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_candidato_1,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_candidato_1.png,674,552,936,617,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_candidato_2,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_candidato_2.png,670,710,930,782,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_blanco,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_blanco.png,669,825,925,876,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_nulos,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_nulos.png,670,875,925,923,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,votos_no_marcados,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/votos_no_marcados.png,675,918,922,964,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_002,total_mesa,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_002/total_mesa.png,662,960,925,1012,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_002.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_002/E14_002_processed.png
E14_003,total_sufragantes,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_003/total_sufragantes.png,48,417,304,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_003.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_003/E14_003_processed.png
E14_003,votos_en_urna,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_003/votos_en_urna.png,357,417,611,463,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_003.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_003/E14_003_processed.png
E14_003,votos_incinerados,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_003/votos_incinerados.png,672,422,927,462,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_003.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_003/E14_003_processed.png
E14_003,votos_candidato_1,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/crops/E14_003/votos_candidato_1.png,674,552,936,617,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/raw/E14Cali_Zona13_01/E14_003.pdf,C:/Users/muril/Documents/GitHub/deteccion-fraude-d14/data/processed/E14_003/E14_003_processed.png
